wikidata_id,wikipedia_en_name_from_pdf,wikipedia_he_name_from_pdf,pdf_page
Q16157607,Ima Shalom,אימא שלום,1
Q1621623,Rabbi Meir,רבי מאיר,1
Q1630319,Hoshaiah Rabbah,ר' אושעיא רבה,1
Q1637336,Huna b. Joshua,רב הונא בריה דרב יהושע,1
Q1679438,Jacob b. Idi,רבי יעקב בר אידי,1
Q16841003,Hanina of Sura,רב חנינא מסורא,1
Q1686568,Joshua ben Hananiah,רבי יהושע בן חנניה,1
Q1686585,Yehuda ben Tema,יהודה בן תימא,1
Q1702866,Rav Jonah,רבי יונה,1
Q1709923,Athronges,אתרונגאיוס,1
Q1710854,Judah III,רבי יהודה נשיאה השני,1
Q1710857,Judah IV,רבי יהודה נשיאה השלישי,1
Q177481,Simeon ben Eleazar,רבי שמעון בן אלעזר,1
Q1794530,Rav Huna,רב הונא,1
Q18038621,Geniva,גניבא,1
Q18192222,Simeon ha-Pakoli,שמעון הפקולי,1
Q18388206,,רב סעורם,1
Q18422795,Abbahu,אבימי בריה דר' אבהו,1
Q1850885,Ravina I,רבינא,1
Q18511038,,אבימי בר טובי,1
Q18575248,,אבימי בר פפי,1
Q18575255,Alexandri,ר' אלכסנדרי,1
Q1892187,Mar Zutra,מר זוטרא,1
Q189597,Philo of Alexandria,פילון האלכסנדרוני,1
Q19201032,Rabbi Aibu,רבי אייבו,1
Q192950,Herod Antipas,הורדוס אנטיפס,1
Q19317835,,אבימי בן רחבה,1
Q19317839,,עיפא,1
Q19344639,,רב בר שבא,1
Q19344644,,רב רחומי השני,1
Q19344646,,רבי מתניא,1
Q19344649,Samuel b. Jose b. Boon,בון,1
Q19927860,,רבי חנינא איש אונו,1
Q2037623,Simeon ben Gamliel,רבן שמעון בן גמליאל הזקן,1
Q20502159,,אמי ורדינאה,1
Q20502443,,רבי חייא בר אמי,1
Q20502839,,רבי יצחק עטושיא,1
Q2060131,Zechariah ben Jehoiada,זכריה בן יהוידע,1
Q20606180,Eliyahueyni ben HaKof,אליהועיני בן הקוף,1
Q20606571,,בר הא הא,1
Q20608162,Hanina ben Gamaliel,רבי חנינא בן גמליאל,1
Q20608469,Yochanan ben HaChoranit,דמתניתין(,1
Q20608481,,יוחנן כהן גדול,1
Q20608513,,רבי יוסי בן החוטף אפרתי,1
Q20609103,,רבי מיאשא,1
Q20609267,,הבית(,1
Q2062146,Marcus Julius Alexander,מרקוס יוליוס אלכסנדר,1
Q2066506,Menahem the Essene,מנחם )זוגות(,1
Q2069730,Garon,חנניה בן חזקיה,1
Q2069742,Admon,אדמון,1
Q2070152,Ishmael ben Elisha ha-Kohen,גדול,1
Q2070197,Baba ben Buta,בבא בן בוטא,1
Q2070205,Hanina ben Hakinai,רבי חנינא בן חכינאי,1
Q2070213,Hanina ben Antigonus,רבי חנינא בן אנטיגנוס,1
Q2070697,Simeon ben Menasya,רבי שמעון בן מנסיא,1
Q2071105,Symmachus ben Joseph,סומכוס בר יוסף,1
Q2085552,Pheroras,פירורא,1
Q2086119,Eleazar ben Judah of Bartota,ברתותא,1
Q21035168,,אבימי מהגרוניא,1
Q211246,Caiaphas,קיפא,1
Q2124832,Rav Nachman,רב נחמן,1
Q2124834,Rav Nachman bar Yitzchak,רב נחמן בר יצחק,1
Q2124892,Rabbah bar bar Hana,רבה בר בר חנא,1
Q2124894,Raba bar Rav Huna,רבה בר רב הונא,1
Q2124910,Rabbi Yannai,רבי ינאי,1
Q2136320,Onias IV,חוניו הרביעי,1
Q21934175,Rav Shmuel bar Yehudah,רב שמואל בר יהודה,1
Q21993862,,טבעון,1
Q21993875,,רבי יוסטא בר שונם,1
Q21993877,,רבי יקים איש חדיד,1
Q2219010,Samuel ben Nahman,רבי שמואל בר נחמני,1
Q2219012,Shmuel ha-Katan,שמואל הקטן,1
Q2219992,Onias I,חוניו הראשון,1
Q228896,Salome,שלומית בת הרודיאס,1
Q22944234,,ר' אבא בר אבינא,1
Q230091,Herodias,הרודיאס,1
Q2319252,Polemon II of Pontus,פולמון השני,1
Q2359988,Woman with seven sons,חנה ושבעת בניה,1
Q23650001,,יעקב איש כפר נבוריא,1
Q2392189,Tanhuma bar Abba,ר' תנחומא,1
Q2429935,Quintus Tineius Rufus,קווינטוס טיניאוס רופוס,1
Q2462642,Jason,יאסון,1
Q2512375,Onias II,חוניו השני,1
Q2524799,Joshua ben Gamla,יהושע בן גמלא,1
Q2533433,Onkelos,אונקלוס הגר,1
Q25492360,,בן לוי,1
Q25492485,,ר' תנחום,1
Q25492502,,ר' אפטוריקי,1
Q25492573,,רבי שבתי,1
Q25492584,Aha (Tanna,ר' אחא )תנא דברייתא(,1
Q25493565,,ר' אבא בר פפא,1
Q25493746,,מרתא,1
Q25498181,Kafri,מכפרי,1
Q25498608,,אבא שאול,1
Q2553579,Honi ha-M'agel,חוני המעגל,1
Q2590159,Antigonus of Sokho,אנטיגנוס איש סוכו,1
Q2603832,Rav Kahana III,רב כהנא ד( רבו דרב אשי,1
Q263515,Glaphyra,גלפירה,1
Q2655769,Helena of Adiabene,הילני המלכה,1
Q2664540,Ishmael ben Phabi,ישמעאל בן פיאבי,1
Q2664632,Simeon the Just,שמעון הצדיק,1
Q266591,Salome Alexandra,שלומציון המלכה,1
Q266601,Mariamne,מרים החשמונאית,1
Q2683160,Simon I,שמעון הראשון,1
Q2689513,Alcimus,אלקימוס,1
Q2695686,Abba Hilkiah,אבא חלקיה,1
Q2695791,Abtolemus,אבטולמוס )תנא דמתניתין(,1
Q2697384,Eleazar ben Perata I,ר' אלעזר בן פרטא,1
Q270607,Mariamne,מרים )בת הכהן הגדול(,1
Q2723579,Eleazar ben Simon,אלעזר בן שמעון,1
Q273117,Simon bar Kokhba,בן כוזבה או כוזיבא,1
Q2747922,Jose ben Joezer,יוסי בן יועזר,1
Q2750624,Abtalion,אבטליון )זוגות(,1
Q2776586,Menelaus,מנלאוס )כהן גדול(,1
Q2778130,Joshua ben Perachiah,יהושע בן פרחיה,1
Q2778144,Nittai of Arbela,נתאי הארבלי,1
Q27990182,,רבי נהוראי,1
Q27990326,,ר' תנחום בר חנילאי,1
Q27990327,,רבי יונתן בן הרכינס,1
Q2892375,Simeon the Yemenite,שמעון התימני,1
Q2892416,Yadua the Babylonian,ידוע הבבלי,1
Q2892486,Hanan the Egyptian,חנן המצרי,1
Q2895176,Nahum the Mede,נחום המדי,1
Q2895793,Martha daughter of Boethus,מרתא בת ביתוס,1
Q28969653,,יועזר איש הבירה,1
Q2897319,Johanan (2nd century rabbi,רבי יוחנן בן תורתא,1
Q2897331,Halafta,רבי חלפתא,1
Q2897422,Jose ben Zimra,רבי יוסי בן זמרה,1
Q2897998,Levi ben Sisi,לוי בר סיסי,1
Q2899673,Mari bar Rachel,רב מרי בר רחל,1
Q2901724,Simon II,שמעון השני,1
Q2902564,Judah ben Bathyra,רבי יהודה בן בתירא,1
Q2902804,Ishmael ben Jose,רבי ישמעאל ברבי יוסי,1
Q2902906,Rabbi Nehemiah,רבי נחמיה,1
Q2902935,Huna Kamma,רב הונא קמא,1
Q2902945,Simeon Shezuri,רבי שמעון שזורי,1
Q2904113,Mar b. Rav Ashi,מר בר רב אשי,1
Q2904193,Hiyya the Great,ר' חייא,1
Q2904631,Bnei Bathyra,בני בתירה,1
Q2905244,Issi ben Judah,איסי בן יהודה,1
Q2906625,Jose ben Jochanan,יוסי בן יוחנן,1
Q2907313,Shmaya,שמעיה,1
Q2907372,Judah ben Tabbai,יהודה בן טבאי,1
Q2907627,Jeshbab the Scribe,רבי ישבב הסופר,1
Q2908584,House of Boethus,בית ביתוס,1
Q2916747,Ananus ben Ananus,חנן בן חנן,1
Q2917262,Monobaz II,מונבז השני,1
Q2919971,Phannias ben Samuel,חבתא,1
Q2980549,"Joseph, son of Ellem",יוסף בן עלים,1
Q298636,Agrippa I,אגריפוס המלך א(,1
Q301088,Jose ben Judah,רבי יוסי ברבי יהודה,1
Q302,Jesus,ישו,1
Q30278216,,הרביעי(,1
Q304924,Abaye,אביי )בר כייליל הכהן(,1
Q30526635,,גביני,1
Q30526640,,נחוניא חופר שיחין,1
Q30526641,,הוגרס בן לוי,1
Q30526644,,בן בבי,1
Q30526645,,בן אחיה,1
Q30526648,,יוחנן בן פינחס,1
Q30526705,,שמעון,1
Q30527252,,רב נחמן בר רב הונא,1
Q30527499,,אריסטון מאפמיה,1
Q30527570,,ר' אבא בר אחא,1
Q30527571,,אבא בנימין,1
Q30527573,,רבי יוסנא,1
Q30527574,,רבי יוסי צידוניא,1
Q30527575,,דברייתא(,1
Q305760,Abba Arika,ר' אבא בר איבו )רב(,1
Q305782,Abba Saul ben Batnit,אבא שאול בן בטנית,1
Q305784,Abba bar Abba,כהן,1
Q305830,Abbahu,ר' אבהו,1
Q310584,Gamaliel,רבן גמליאל הזקן,1
Q310821,Akiva ben Joseph,רבי עקיבא,1
Q313419,Agrippa II,אגריפס השני,1
Q31798220,,רבי פפייס,1
Q319043,John Hyrcanus,יוחנן הורקנוס הראשון,1
Q319075,Antipater the Idumaean,אנטיפטרוס האדומי,1
Q319107,Alexander Jannaeus,אלכסנדר,1
Q3192132,Kalba Savoua,בן כלבא שבוע,1
Q319219,Hillel the Elder,הלל הבבלי,1
Q335117,Aquila of Sinope,עקילס הגר,1
Q335124,Aristobulus I,יהודה אריסטובולוס הראשון,1
Q335127,Agabus,אגבוס,1
Q338378,Simeon ben Shetach,שמעון בן שטח,1
Q3415876,Rav Shela,רב שילא,1
Q3415877,Rabbi Itzhak,רבי יצחק,1
Q3482096,Shila of Kefar Tamarta,רבי שילא איש כפר תמרתא,1
Q357157,Gamaliel III,רבן גמליאל )השלישי(,1
Q359679,Aristobulus II,הורקנוס ואריסטובלוס אחיו,1
Q359687,Antigonus II Mattathias,מתתיהו אנטיגונוס השני,1
Q359711,Simon Thassi,שמעון התרסי,1
Q359768,Rav Yosef b. Hiyya,רב יוסף,1
Q359777,Judah ben Ezekiel,רב יהודה,1
Q359782,Joshua ben Levi,רבי יהושע בן לוי,1
Q360557,Rabbah bar Nahmani,רבה בר נחמני,1
Q361357,Tiberius Julius Alexander,טיבריוס יוליוס אלכסנדר,1
Q3624244,Berenice,ברניקי )בת מרים(,1
Q3710285,Hillel and Shammai,בית הלל ובית שמאי,1
Q371624,Judas of Galilee,יהודה בן חזקיה,1
Q374146,Jose ben Kisma,רבי יוסי בן קיסמא,1
Q380427,Judah ha-Nasi,רבינו הקדוש,1
Q3847650,Mariamne III,מרים )בת אריסטובולוס(,1
Q392315,Cleopatra of Jerusalem,קלאופטרה הירושלמית,1
Q40662,John the Baptist,יוחנן המטביל,1
Q42054008,,ר' זכריה בן הקצב הכהן,1
Q446642,Babatha,בבתא,1
Q446664,Nahum of Gimzo,נחום איש גמזו,1
Q447687,Johanan ben Nuri,רבי יוחנן בן נורי,1
Q448939,Phinehas ben Jair,רבי פינחס בן יאיר,1
Q449117,Bar Kappara,בר קפרא,1
Q449241,Matteya ben Heresh,רבי מתיא בן חרש,1
Q449248,Johanan HaSandlar,רבי יוחנן הסנדלר,1
Q449264,Joshua ben Karha,רבי יהושע בן קרחה,1
Q449278,Judah ben Bava,רבי יהודה בן בבא,1
Q449288,Rabbi Jonathan,רבי יונתן,1
Q450436,Rabbi Bana'ah,ר' בנאה,1
Q453069,Salome,ברניקי )בת שלומית(,1
Q454405,Huna b. Nathan,רב הונא בריה דרב נתן,1
Q454422,Amemar,אמימר,1
Q456872,Malthace,מלתקי,1
Q459257,Simon bar Giora,שמעון בר גיורא,1
Q4663638,Abba Gorion of Sidon,אבא גוריון איש צידן,1
Q4663643,Abba Jose ben Hanan,אבא יוסי בן חנן,1
Q4663647,Abba Kohen Bardela,אבא כהן ברדלא,1
Q4663670,Abba b. Martha,אבא בר מרתא או מרת,1
Q4663673,Abba bar Pappai,פפי,1
Q4663674,Abba bar Zabdai,זבדי,1
Q4663676,Abba bar Memel,ר' אבא בר ממל,1
Q4663678,Abba of Acre,ר' אבא דמן עכו,1
Q4663679,Abba of Carthage,רבי אבא מקרטיגנא,1
Q4663683,Abba of Jaffa,ר' אדא דמן יפו,1
Q4663686,Abba the Surgeon,אבא אומנא,1
Q466696,Berenice,ברניקי,1
Q4667805,Abin I,רבי אבין,1
Q467138,Shammai the elder,שמאי הזקן,1
Q467142,Rabbi Ilai II,ר' אלעאי )אמורא(,1
Q469428,Bruriah,ברוריא,1
Q4694892,Aha b. Jacob,רב אחא בר יעקב,1
Q4694893,Aha b. Raba,רב אחא בריה דרבא,1
Q4694908,Ahai,רב אחאי או רב אחא,1
Q473264,Rabbi Ammi,ר' אמי )בר נתן(,1
Q4740243,Amariah,אמריהו כהן הראש,1
Q4747240,Ammi b. Abba,רמי בר אבא א(,1
Q4751394,Anani ben Sason,רבי ענני בר ששון,1
Q4751410,Ananias of Adiabene,חנניה מחדייב,1
Q485806,Ananel,חנמאל המצרי,1
Q485854,Ananias son of Nedebaios,חנניה בן נדבאי,1
Q49839963,,רב חנא בר ביזנא,1
Q51672,Herod the Great,הורדוס,1
Q51680,Annas,חנן בן שת,1
Q5354447,Eleazar,אלעזר הכהן הגדול,1
Q5382116,Epes the Southerner,ר' אפס,1
Q540824,Hillel II,הלל האחרון,1
Q542710,Elisha ben Abuyah,אלישע בן אבויה )אחר(,1
Q543853,Herod II,הורדוס )בן הורדוס הגדול(,1
Q55647221,,אבא יוסף הבנאי,1
Q55649762,,רבי שמעון חסידא,1
Q55649928,Rabbi Levitas of Yavne,רבי לויטס איש יבנה,1
Q55650150,Elazar ben Dinai,אלעזר בן דינאי,1
Q55650354,,רבי יעקב )תנא(,1
Q562394,Theudas,תאודאס,1
Q5648222,Hanina,רב חנינא,1
Q5648224,Hanina b. Papi,רבי חנינא בר פפי,1
Q5678052,Hasa of Eshtemoa,חסא דאשתמוע,1
Q568935,Hanina ben Dosa,רבי חנינא בן דוסא,1
Q574650,Avdimi of Haifa,ר' אבדימי דמן חיפה,1
Q5749989,Hezekiah,חזקיה,1
Q578079,Hanina Segan ha-Kohanim,רבי חנינא סגן הכהנים,1
Q585126,Akabia ben Mahalalel,עקביא בן מהללאל,1
Q5872982,Hiyya b. Abin Naggara,רב חייא בר אבין,1
Q5872985,Hiyya bar Ashi,רב חייא בר אשי,1
Q5872987,Hiyya b. Joseph,רבי חייא בר יוסף,1
Q5907959,Hoshaiah,רב אושעיא,1
Q5914712,House of Avtinas,בית אבטינוס,1
Q5914973,House of Garmu,בית גרמו,1
Q598839,Mar son of Ravina,מר בריה דרבנא,1
Q601081,Simeon ben Azzai,בן עזאי,1
Q6042401,,"אלעזר בן חרסום כה""ג",1
Q6077378,Isaac b. Eliashib,יצחק בן אלישיב,1
Q6077381,Isaac bar Judah,רב יצחק בריה דרב יהודה,1
Q61125950,,ר' זכאי דכבול,1
Q61126436,Simeon ben Judah ha-Nasi,רבי שמעון ברבי,1
Q61126541,Rabbi Shimon Ben Nanas,שמעון בן ננס,1
Q61126564,,נחמיה איש שיחין,1
Q61126644,,רבי יהושע אוניא,1
Q61126797,,מנימין,1
Q6119570,Jacob the heretic,יעקב איש כפר סכניא,1
Q6180709,Jeremiah,רבי ירמיה )השני(,1
Q6180711,Jeremiah,רבי ירמיה,1
Q6181023,Jeremiah b. Abba,רב ירמיה בר אבא,1
Q62758092,,רב אהרן,1
Q6279613,Jose b. Zebida,רבי יוסי בר זבידא,1
Q6279615,Jose ben Abin,רבי יוסי ברבי בון,1
Q6288179,Joseph b. Hama,רב יוסף בר חמא,1
Q6302157,Judah b. Hiyya,יהודה בריה דרבי חייא,1
Q64590733,,רבי יהושע הגרסי,1
Q6477149,,רבא בר מחסיא,1
Q6499611,,רבי יצחק )תנא(,1
Q65082798,Hutzpit the Interpreter,ר' חוצפית המתורגמן,1
Q6510428,,רב אחא בר אביי,1
Q6521345,,רפרם )אמורא בדור השישי(,1
Q65249661,,בר הדיא,1
Q65251028,,בן ארזה,1
Q65251032,,בן גבר,1
Q65251099,,מתתיה בן שמואל,1
Q65251132,,בית קמחית,1
Q6526823,,רב יוסף בר אמי,1
Q6532443,,רב אחא בריה דרב איקא,1
Q6539008,,רב סמא בריה דרבא,1
Q6539352,,רב הינק,1
Q6544052,Rav Yemar,רב יימר,1
Q6545728,,רב שימי מחוזנאה,1
Q6546877,,רבי אבין )השני(,1
Q6548413,,בר פדא,1
Q6550301,,רב הונא בר מנוח,1
Q6553715,Rabbah Bar Ulla,רבה בר עולא,1
Q6554215,,רב פנחס,1
