wikidata_id,wikipedia_en_name_from_pdf,wikipedia_he_name_from_pdf,pdf_page
Q7038220,,אמימר בר מר ינוקא,1
Q7054473,Geviha ben Pesisa,גביהא בן פסיסא,1
Q7055550,Ada Bar-Abba,רבא,1
Q7060011,,שלום קומאיסה,1
Q7060590,,רב דימי בר יוסף,1
Q7064067,,רב חמא,1
Q7212350,,חנן בן אבישלום,1
Q7221758,Rabbi Abba,ר' אבא א,1
Q723557,Samuel of Nehardea,שמואל )אמורא(,1
Q7278451,Rabbi 'Awira,רבי עוירא,1
Q7278472,Raba Bar Jeremiah,רבה בר ירמיה,1
Q7278517,Rabbah Jose,רבה יוסי,1
Q7278518,Rabbah Tosafa'ah,רבה תוספאה,1
Q7278519,Rabbah b. Abuha,רבה בר אבוה,1
Q7278521,Rabbah b. Shela,רבה בר שילא,1
Q7278538,Rabbi Berekiah,ר' ברכיה,1
Q7278539,Rabbi Hilkiah,רבי חלקיה,1
Q7278542,Rabbi Isaac the smith,רבי יצחק נפחא,1
Q7278544,Rabbi Josiah,רבי יאשיה,1
Q7289539,Rami b. Abba,רמי בר אבא )השני(,1
Q7289541,Rami bar Hama,רמי בר חמא,1
Q7296277,Rav Berona,רב ברונא,1
Q7296280,Rav Giddel,רב גידל,1
Q7296281,Rav Kahana II,רב כהנא ב( תלמידו דרב,1
Q7296283,Rav Kahana IV,רב כהנא )הרביעי(,1
Q7296284,Rav Karna,קרנא,1
Q7296285,Rav Mesharshiya,רב משרשיא,1
Q7296287,Rav Papi,רב פפי,1
Q7296288,Rav Rahumi III,רב רחומי ג(,1
Q7296289,Rav Safra,רב ספרא,1
Q7296292,Rav Shizbi,רב שיזבי א(,1
Q7296294,Rav Zeira,ר' זירא,1
Q7296295,Rav Zevid,רב זביד ב(,1
Q733042,Simeon ben Hillel,שמעון בן הלל,1
Q733660,Johanan ben Zakai,רבן יוחנן בן זכאי,1
Q739520,Eleazar ben Shammua,ר' אלעזר בן שמוע הכהן,1
Q740779,Onias III,חוניו השלישי,1
Q740789,Jesus ben Ananias,ישוע בן חנניה,1
Q7412995,Samuel b. Abbahu,שמואל בריה דרב אבהו,1
Q741458,Rav Assi,רב אסי,1
Q741463,Rabbi Assi,ר' אסי חבירו דר' אמי,1
Q742029,Raban Gamaliel VI,רבן גמליאל השישי,1
Q742620,Rav Ashi,רב אשי,1
Q742636,Rav Papa,רב פפא,1
Q743044,Sheshet,רב ששת,1
Q743217,Ravina II,רבינא בריה דרב הונא,1
Q746845,Eleazar b. Simeon,"ר' אלעזר ב""ר שמעון בן יוחי",1
Q75043,Jonathan Apphus,יונתן הוופסי,1
Q7673841,Tachlifa of the West,ר' תחליפא בר מערבא,1
Q7689089,Gamaliel,דיבנה,1
Q8069406,Zerika,ר' זריקא ובירושלמי ר' זריקן,1
Q816598,Simeon ben Zoma,בן זומא,1
Q85988567,,רבי זוטרא,1
Q85993523,,אמתא דבי רבי,1
Q86006998,,רבי יונה בוצרייא,1
Q86007023,,הבבלי,1
Q89391817,Judah HaNahtom,ר' יהודה הנחתום,1
Q91060431,,ר' חוניא דברת חוורן,1
Q921589,Eliezer ben Jose,הגלילי,1
Q921692,Costobarus,קוסטובר,1
Q9252723,Eliashib,אלישיב בן יהויקים,1
Q92636151,,רבי יהודה בן בתירא השני,1
Q928893,Gamaliel IV,ר' גמליאל )הרביעי(,1
Q93892988,,יהודה בן גרים,1
Q943070,John of Giscala,יוחנן מגוש חלב,1
Q948902,Johanan ben Baroka,רבי יוחנן בן ברוקה,1
Q97214625,,רבין בריה דרב נחמן,1
Q979006,Eleazar Ben Yair,אלעזר בן יאיר,1
Q982070,Eleazar ha-Kappar,ר' אלעזר הקפר בריבי,1
Q982075,Jose ben Halafta,רבי יוסי,1
Q982078,Eleazar of Modi'im,ר' אלעזר המודעי,1
Q982173,Jose the Galilean,רבי יוסי הגלילי,1
Q982179,Haninah ben Teradion,רבי חנינא בן תרדיון,1
Q982191,Nehunya ben HaKanah,רבי נחוניה בן הקנה,1
Q982196,Eliezer ben Jacob I,ר' אליעזר בן יעקב )השני(,1
Q982199,Eleazar Chisma,ר' אלעזר חסמא,1
Q99769243,,אליעזר זעירא,1
Q99976121,,רבי חנינא בן עגיל,1
