term,categories,variant_names,talmud_corpus_count,wikipedia_en,wikipedia_he,selected_anchor_text,hebrew_term,chavrutai_search_url,wiki_match_source,wikidata_id,father,student_of,affiliation,student,date_of_birth,place_of_birth,date_of_death,place_of_death
A certain philosopher,names,,1,,,,,https://chavrutai.com/search?q=A+certain+philosopher&type=talmud,,,,,,,,,,
a certain pious,names,,2,,,,,https://chavrutai.com/search?q=a+certain+pious&type=talmud,,,,,,,,,,
a certain pious man,names,,2,,,,,https://chavrutai.com/search?q=a+certain+pious+man&type=talmud,,,,,,,,,,
a certain place,talmudToponyms,,16,,,,,https://chavrutai.com/search?q=a+certain+place&type=talmud,,,,,,,,,,
a certain poor person,names,,1,,,,,https://chavrutai.com/search?q=a+certain+poor+person&type=talmud,,,,,,,,,,
A certain pregnant woman,names,,1,,,,,https://chavrutai.com/search?q=A+certain+pregnant+woman&type=talmud,,,,,,,,,,
a certain priest,names,,2,,,,,https://chavrutai.com/search?q=a+certain+priest&type=talmud,,,,,,,,,,
a certain priest’s daughter,names,,1,,,,,https://chavrutai.com/search?q=a+certain+priest%E2%80%99s+daughter&type=talmud,,,,,,,,,,
a certain prostitute,names,,-,,,,,https://chavrutai.com/search?q=a+certain+prostitute&type=talmud,,,,,,,,,,
A certain Roman,names,,2,,,,,https://chavrutai.com/search?q=A+certain+Roman&type=talmud,,,,,,,,,,
A certain Roman officer,names,,1,,,,,https://chavrutai.com/search?q=A+certain+Roman+officer&type=talmud,,,,,,,,,,
a certain Sadducee,names,,6,,,,,https://chavrutai.com/search?q=a+certain+Sadducee&type=talmud,,,,,,,,,,
A certain Sage,names,,2,,,,,https://chavrutai.com/search?q=A+certain+Sage&type=talmud,,,,,,,,,,
a certain student,names,,13,,,,,https://chavrutai.com/search?q=a+certain+student&type=talmud,,,,,,,,,,
a certain tanner,names,,1,,,,,https://chavrutai.com/search?q=a+certain+tanner&type=talmud,,,,,,,,,,
a certain teacher of children,names,,3,,,,,https://chavrutai.com/search?q=a+certain+teacher+of+children&type=talmud,,,,,,,,,,
a certain widow,names,,2,,,,,https://chavrutai.com/search?q=a+certain+widow&type=talmud,,,,,,,,,,
a certain woman,names,,57,,,,,https://chavrutai.com/search?q=a+certain+woman&type=talmud,,,,,,,,,,
a certain young woman,names,,1,,,,,https://chavrutai.com/search?q=a+certain+young+woman&type=talmud,,,,,,,,,,
"a deaf-mute, an imbecile, and a minor",concepts,,32,,,,,https://chavrutai.com/search?q=a+deaf-mute%2C+an+imbecile%2C+and+a+minor&type=talmud,,,,,,,,,,
A Galilean,names,,1,,,,,https://chavrutai.com/search?q=A+Galilean&type=talmud,,,,,,,,,,
a king and queen,names,,3,,,,,https://chavrutai.com/search?q=a+king+and+queen&type=talmud,,,,,,,,,,
a leading authority of generation,names,,1,,,,,https://chavrutai.com/search?q=a+leading+authority+of+generation&type=talmud,,,,,,,,,,
a maidservant of Rabbi,names,,1,,,,,https://chavrutai.com/search?q=a+maidservant+of+Rabbi&type=talmud,,,,,,,,,,
a maidservant of the household of Rabbi,names,,1,,,,,https://chavrutai.com/search?q=a+maidservant+of+the+household+of+Rabbi&type=talmud,,,,,,,,,,
a menstruating woman,concepts,,261,https://en.wikipedia.org/wiki/Niddah,https://he.wikipedia.org/wiki/%D7%A0%D7%99%D7%93%D7%94,Niddah,נידה,https://chavrutai.com/search?q=a+menstruating+woman&type=talmud,manual_concepts_top_missing_he,Q1466089,,,,,,,,
a passerby from the Galilee,names,,1,,,,,https://chavrutai.com/search?q=a+passerby+from+the+Galilee&type=talmud,,,,,,,,,,
a pious man,names,,3,,,,,https://chavrutai.com/search?q=a+pious+man&type=talmud,,,,,,,,,,
a poor person of noble descent,names,,3,,,,,https://chavrutai.com/search?q=a+poor+person+of+noble+descent&type=talmud,,,,,,,,,,
a resident of Meḥoza,names,,1,,,,,https://chavrutai.com/search?q=a+resident+of+Me%E1%B8%A5oza&type=talmud,,,,,,,,,,
A resident of Naresh,names,,1,,,,,https://chavrutai.com/search?q=A+resident+of+Naresh&type=talmud,,,,,,,,,,
a resident of Pappunya,names,,1,,,,,https://chavrutai.com/search?q=a+resident+of+Pappunya&type=talmud,,,,,,,,,,
a Samaritan woman,names,,5,,,,,https://chavrutai.com/search?q=a+Samaritan+woman&type=talmud,,,,,,,,,,
a son of a Levite,names,,1,,,,,https://chavrutai.com/search?q=a+son+of+a+Levite&type=talmud,,,,,,,,,,
a young girl,names,,24,,,,,https://chavrutai.com/search?q=a+young+girl&type=talmud,,,,,,,,,,
a youth,names,,6,,,,,https://chavrutai.com/search?q=a+youth&type=talmud,,,,,,,,,,
Aaron,biblicalNames,Aaron and his sons; Aaron the priest,178,https://en.wikipedia.org/wiki/Aaron,https://he.wikipedia.org/wiki/%D7%90%D7%94%D7%A8%D7%9F,Aaron,אהרן,https://chavrutai.com/search?q=Aaron&type=talmud,biblical_names_api_review:verified_exact_or_redirect,Q51676,Amram,,,,-1396; -1529,Ancient Egypt,-1274; -1406,Mount Haroun
Abaye,names,,2519,https://en.wikipedia.org/wiki/Abaye,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%99,Abaye,אביי,https://chavrutai.com/search?q=Abaye&type=talmud,blog,Q304924,,,Pumbedita Academy,,201; 278,,339,
Abaye bar Abba,names,,1,,,,,https://chavrutai.com/search?q=Abaye+bar+Abba&type=talmud,,,,,,,,,,
Abaye bar Avin,names,,9,,,,,https://chavrutai.com/search?q=Abaye+bar+Avin&type=talmud,,,,,,,,,,
Abaye bar Huna,names,,1,,,,,https://chavrutai.com/search?q=Abaye+bar+Huna&type=talmud,,,,,,,,,,
Abaye bar Ravin,names,,1,,,,,https://chavrutai.com/search?q=Abaye+bar+Ravin&type=talmud,,,,,,,,,,
Abaye the Elder,names,,11,,,,,https://chavrutai.com/search?q=Abaye+the+Elder&type=talmud,,,,,,,,,,
"Abaye, son of Rabbi Abbahu",names,,1,,,,,https://chavrutai.com/search?q=Abaye%2C+son+of+Rabbi+Abbahu&type=talmud,,,,,,,,,,
Abaye’s mother,names,,2,,,,,https://chavrutai.com/search?q=Abaye%E2%80%99s+mother&type=talmud,,,,,,,,,,
Abaye’s tenant farmer,names,,1,,,,,https://chavrutai.com/search?q=Abaye%E2%80%99s+tenant+farmer&type=talmud,,,,,,,,,,
"Abaye’s wife, Ḥoma",names,,1,,,,,https://chavrutai.com/search?q=Abaye%E2%80%99s+wife%2C+%E1%B8%A4oma&type=talmud,,,,,,,,,,
Rav,names,Abba Arikha,3518,https://en.wikipedia.org/wiki/Abba_Arikha,https://he.wikipedia.org/wiki/%D7%A8%D7%91_(%D7%90%D7%9E%D7%95%D7%A8%D7%90),Abba Arikha,רב (אמורא),https://chavrutai.com/search?q=Rav&type=talmud,blog+en_langlink_he,Q305760,Aivu,Judah ha-Nasi; Hiyya the Great,Sura Academy,Rav Huna; Judah ben Ezekiel,160,Kafri,247,Sura
Abba bar Marta,names,Abba b. Martha,7,https://en.wikipedia.org/wiki/Abba_b._Martha,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%90_%D7%91%D7%A8_%D7%9E%D7%A8%D7%AA%D7%90,Abba b. Martha,אבא בר מרתא,https://chavrutai.com/search?q=Abba+bar+Marta&type=talmud,blog,Q4663670,,,,,,,,
