term,categories,variant_names,talmud_corpus_count,wikipedia_en,wikipedia_he,selected_anchor_text,hebrew_term,chavrutai_search_url,wiki_match_source,wikidata_id,father,student_of,affiliation,student,date_of_birth,place_of_birth,date_of_death,place_of_death
Balei,names,,2,,,,,https://chavrutai.com/search?q=Balei&type=talmud,,,,,,,,,,
Bali,names,,3,,,,,https://chavrutai.com/search?q=Bali&type=talmud,,,,,,,,,,
Balla’ai,names,,1,,,,,https://chavrutai.com/search?q=Balla%E2%80%99ai&type=talmud,,,,,,,,,,
Balvatei,names,,2,,,,,https://chavrutai.com/search?q=Balvatei&type=talmud,,,,,,,,,,
Pamyas,talmudToponyms,Banias,9,https://en.wikipedia.org/wiki/Banias#Roman_and_Christian_Byzantine_periods,https://he.wikipedia.org/wiki/%D7%91%D7%A0%D7%99%D7%90%D7%A1_(%D7%90%D7%AA%D7%A8_%D7%90%D7%A8%D7%9B%D7%90%D7%95%D7%9C%D7%95%D7%92%D7%99),Banias,בניאס (אתר ארכאולוגי),https://chavrutai.com/search?q=Pamyas&type=talmud,blog,Q606295,,,,,,,,
bar Abbahu,names,,-,,,,,https://chavrutai.com/search?q=bar+Abbahu&type=talmud,,,,,,,,,,
bar Abuveram,names,,-,,,,,https://chavrutai.com/search?q=bar+Abuveram&type=talmud,,,,,,,,,,
Bar Adda,names,,-,,,,,https://chavrutai.com/search?q=Bar+Adda&type=talmud,,,,,,,,,,
Bar Adda Mari,names,,1,,,,,https://chavrutai.com/search?q=Bar+Adda+Mari&type=talmud,,,,,,,,,,
Bar Adda the porter,names,,1,,,,,https://chavrutai.com/search?q=Bar+Adda+the+porter&type=talmud,,,,,,,,,,
Bar Adda the surveyor,names,,1,,,,,https://chavrutai.com/search?q=Bar+Adda+the+surveyor&type=talmud,,,,,,,,,,
Bar Adi the Arab,names,,1,,,,,https://chavrutai.com/search?q=Bar+Adi+the+Arab&type=talmud,,,,,,,,,,
Bar Ahina,names,,2,,,,,https://chavrutai.com/search?q=Bar+Ahina&type=talmud,,,,,,,,,,
bar Binittos,names,,2,,,,,https://chavrutai.com/search?q=bar+Binittos&type=talmud,,,,,,,,,,
bar Deroma,names,,2,,,,,https://chavrutai.com/search?q=bar+Deroma&type=talmud,,,,,,,,,,
bar Dosa,names,,-,,,,,https://chavrutai.com/search?q=bar+Dosa&type=talmud,,,,,,,,,,
bar Elyashiv,names,,2,,,,,https://chavrutai.com/search?q=bar+Elyashiv&type=talmud,,,,,,,,,,
bar Giyorei,names,,-,,,,,https://chavrutai.com/search?q=bar+Giyorei&type=talmud,,,,,,,,,,
bar Hadaya,names,,1,,,,,https://chavrutai.com/search?q=bar+Hadaya&type=talmud,,,,,,,,,,
Bar Haddaya,names,,1,,,,,https://chavrutai.com/search?q=Bar+Haddaya&type=talmud,,,,,,,,,,
Bar Hamdakh,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Bar+Hamdakh&type=talmud,,,,,,,,,,
Bar Hamdurei,names,,1,,,,,https://chavrutai.com/search?q=Bar+Hamdurei&type=talmud,,,,,,,,,,
Bar Hamduri,names,,1,,,,,https://chavrutai.com/search?q=Bar+Hamduri&type=talmud,,,,,,,,,,
bar Hamedurei,names,,1,,,,,https://chavrutai.com/search?q=bar+Hamedurei&type=talmud,,,,,,,,,,
bar Ḥanan,names,,-,,,,,https://chavrutai.com/search?q=bar+%E1%B8%A4anan&type=talmud,,,,,,,,,,
bar Ḥanna,names,,-,,,,,https://chavrutai.com/search?q=bar+%E1%B8%A4anna&type=talmud,,,,,,,,,,
bar Ḥasa,names,,-,,,,,https://chavrutai.com/search?q=bar+%E1%B8%A4asa&type=talmud,,,,,,,,,,
bar Ḥashu,names,,-,,,,,https://chavrutai.com/search?q=bar+%E1%B8%A4ashu&type=talmud,,,,,,,,,,
bar Ḥavu,names,,2,,,,,https://chavrutai.com/search?q=bar+%E1%B8%A4avu&type=talmud,,,,,,,,,,
Bar Hedya,names,,2,,,,,https://chavrutai.com/search?q=Bar+Hedya&type=talmud,,,,,,,,,,
bar Hei Hei,names,,3,,,,,https://chavrutai.com/search?q=bar+Hei+Hei&type=talmud,,,,,,,,,,
bar Hinak,names,,1,,,,,https://chavrutai.com/search?q=bar+Hinak&type=talmud,,,,,,,,,,
bar Ḥiyya,names,,-,,,,,https://chavrutai.com/search?q=bar+%E1%B8%A4iyya&type=talmud,,,,,,,,,,
bar Yokhani,names,Bar Juchne,2,https://en.wikipedia.org/wiki/Bar_Juchne,,Bar Juchne,,https://chavrutai.com/search?q=bar+Yokhani&type=talmud,blog,Q4857938,,,,,,,,
bar Kalba Savua,names,,2,,,,,https://chavrutai.com/search?q=bar+Kalba+Savua&type=talmud,,,,,,,,,,
bar Kamtza,names,,5,,,,,https://chavrutai.com/search?q=bar+Kamtza&type=talmud,,,,,,,,,,
Bar Kappara,names,,120,https://en.wikipedia.org/wiki/Bar_Kappara,https://he.wikipedia.org/wiki/%D7%91%D7%A8_%D7%A7%D7%A4%D7%A8%D7%90,Bar Kappara,בר קפרא,https://chavrutai.com/search?q=Bar+Kappara&type=talmud,blog,Q449117,,Judah ha-Nasi,Tannaim,,101,Caesarea Maritima,300,Parod
bar Kaza,names,,1,,,,,https://chavrutai.com/search?q=bar+Kaza&type=talmud,,,,,,,,,,
bar Kidri,names,,1,,,,,https://chavrutai.com/search?q=bar+Kidri&type=talmud,,,,,,,,,,
bar Kipof,names,,1,,,,,https://chavrutai.com/search?q=bar+Kipof&type=talmud,,,,,,,,,,
bar Kippok,names,,2,,,,,https://chavrutai.com/search?q=bar+Kippok&type=talmud,,,,,,,,,,
Bar Kochba rebellion,concepts,,0,https://en.wikipedia.org/wiki/Bar_Kokhba_revolt,https://he.wikipedia.org/wiki/%D7%9E%D7%A8%D7%93_%D7%91%D7%A8_%D7%9B%D7%95%D7%9B%D7%91%D7%90,,מרד בר כוכבא,https://chavrutai.com/search?q=Bar+Kochba+rebellion&type=talmud,,Q334502,,,,,,,,
bar Kokheva,names,,1,,,,,https://chavrutai.com/search?q=bar+Kokheva&type=talmud,,,,,,,,,,
Bar Koziva,names,,2,,,,,https://chavrutai.com/search?q=Bar+Koziva&type=talmud,,,,,,,,,,
bar Leva’i,names,,-,,,,,https://chavrutai.com/search?q=bar+Leva%E2%80%99i&type=talmud,,,,,,,,,,
Bar Liva’ei,names,,1,,,,,https://chavrutai.com/search?q=Bar+Liva%E2%80%99ei&type=talmud,,,,,,,,,,
bar Livai,names,,2,,,,,https://chavrutai.com/search?q=bar+Livai&type=talmud,,,,,,,,,,
bar Luyyanus,names,,-,,,,,https://chavrutai.com/search?q=bar+Luyyanus&type=talmud,,,,,,,,,,
bar Marta,names,,-,,,,,https://chavrutai.com/search?q=bar+Marta&type=talmud,,,,,,,,,,
bar Maryon,names,,-,,,,,https://chavrutai.com/search?q=bar+Maryon&type=talmud,,,,,,,,,,
"bar Maryon, son of Ravin",names,,-,,,,,https://chavrutai.com/search?q=bar+Maryon%2C+son+of+Ravin&type=talmud,,,,,,,,,,
Bar Nappaḥa,names,,4,,,,,https://chavrutai.com/search?q=Bar+Nappa%E1%B8%A5a&type=talmud,,,,,,,,,,
bar Natan,names,,1,,,,,https://chavrutai.com/search?q=bar+Natan&type=talmud,,,,,,,,,,
Bar Padda,names,,29,,,,,https://chavrutai.com/search?q=Bar+Padda&type=talmud,,,,,,,,,,
bar Pedat,names,,1,,,,,https://chavrutai.com/search?q=bar+Pedat&type=talmud,,,,,,,,,,
bar Peyoli,names,,3,,,,,https://chavrutai.com/search?q=bar+Peyoli&type=talmud,,,,,,,,,,
bar Shatya,names,,6,,,,,https://chavrutai.com/search?q=bar+Shatya&type=talmud,,,,,,,,,,
bar Sheila,names,,2,,,,,https://chavrutai.com/search?q=bar+Sheila&type=talmud,,,,,,,,,,
bar Sheshakh,names,,1,,,,,https://chavrutai.com/search?q=bar+Sheshakh&type=talmud,,,,,,,,,,
bar Shibbetai,names,,1,,,,,https://chavrutai.com/search?q=bar+Shibbetai&type=talmud,,,,,,,,,,
bar Shirika Panda,names,,-,,,,,https://chavrutai.com/search?q=bar+Shirika+Panda&type=talmud,,,,,,,,,,
bar Sisin,names,,14,,,,,https://chavrutai.com/search?q=bar+Sisin&type=talmud,,,,,,,,,,
bar Ta’utni,names,,1,,,,,https://chavrutai.com/search?q=bar+Ta%E2%80%99utni&type=talmud,,,,,,,,,,
bar Tamei,names,,-,,,,,https://chavrutai.com/search?q=bar+Tamei&type=talmud,,,,,,,,,,
bar Tina,names,,-,,,,,https://chavrutai.com/search?q=bar+Tina&type=talmud,,,,,,,,,,
bar Tit,names,,-,,,,,https://chavrutai.com/search?q=bar+Tit&type=talmud,,,,,,,,,,
bar Tutini,names,,2,,,,,https://chavrutai.com/search?q=bar+Tutini&type=talmud,,,,,,,,,,
bar Tutni,names,,2,,,,,https://chavrutai.com/search?q=bar+Tutni&type=talmud,,,,,,,,,,
bar Tzartzur,names,,1,,,,,https://chavrutai.com/search?q=bar+Tzartzur&type=talmud,,,,,,,,,,
bar Tzitai,names,,1,,,,,https://chavrutai.com/search?q=bar+Tzitai&type=talmud,,,,,,,,,,
bar Uva,names,,1,,,,,https://chavrutai.com/search?q=bar+Uva&type=talmud,,,,,,,,,,
bar Yirmeya,names,,1,,,,,https://chavrutai.com/search?q=bar+Yirmeya&type=talmud,,,,,,,,,,
bar Yoḥai,names,,1,,,,,https://chavrutai.com/search?q=bar+Yo%E1%B8%A5ai&type=talmud,,,,,,,,,,
Barak,biblicalNames,,3,https://en.wikipedia.org/wiki/Barak,https://he.wikipedia.org/wiki/%D7%91%D7%A8%D7%A7_%D7%91%D7%9F_%D7%90%D7%91%D7%99%D7%A0%D7%A2%D7%9D,Barak,ברק בן אבינעם,https://chavrutai.com/search?q=Barak&type=talmud,biblical_names_api_review:verified_exact_or_redirect,Q807236,Abinoam,,,,,,,
Barkata,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Barkata&type=talmud,,,,,,,,,,
Barnish,talmudToponyms,,8,,,,,https://chavrutai.com/search?q=Barnish&type=talmud,,,,,,,,,,
Bartota,talmudToponyms,,3,,,,,https://chavrutai.com/search?q=Bartota&type=talmud,,,,,,,,,,
Baruch ben Neriah,biblicalNames,,1,https://en.wikipedia.org/wiki/Baruch_ben_Neriah,https://he.wikipedia.org/wiki/%D7%91%D7%A8%D7%95%D7%9A_%D7%91%D7%9F_%D7%A0%D7%A8%D7%99%D7%94,Baruch ben Neriah,ברוך בן נריה,https://chavrutai.com/search?q=Baruch+ben+Neriah&type=talmud,biblical_names_api_review:verified_exact_or_redirect,Q599907,Neriah,Jeremiah,,Ezra,,,,
"Baruch, the son of Neriah",biblicalNames,,1,,,,,https://chavrutai.com/search?q=Baruch%2C+the+son+of+Neriah&type=talmud,biblical_names_api_review:no_exact_page,,,,,,,,,
Barukh ben Levi,names,,1,,,,,https://chavrutai.com/search?q=Barukh+ben+Levi&type=talmud,,,,,,,,,,
Barzillai the Gileadite,biblicalNames,,1,,,,,https://chavrutai.com/search?q=Barzillai+the+Gileadite&type=talmud,biblical_names_api_review:no_exact_page,,,,,,,,,
Bashan,biblicalPlaces,,11,https://en.wikipedia.org/wiki/Bashan,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%A9%D7%9F,Bashan,הבשן,https://chavrutai.com/search?q=Bashan&type=talmud,blog,Q612952,,,,,,,,
Bashkar,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Bashkar&type=talmud,,,,,,,,,,
Baskar,talmudToponyms,,0,,,,,https://chavrutai.com/search?q=Baskar&type=talmud,,,,,,,,,,
Bathsheba,biblicalNames,"Bathsheba, daughter of Eliam",10,https://en.wikipedia.org/wiki/Bathsheba,https://he.wikipedia.org/wiki/%D7%91%D7%AA_%D7%A9%D7%91%D7%A2,Bathsheba,בת שבע,https://chavrutai.com/search?q=Bathsheba&type=talmud,biblical_names_api_review:verified_exact_or_redirect,Q272277,Eliam,,,,-1009,Giloh,-937,
Bati,names,,1,,,,,https://chavrutai.com/search?q=Bati&type=talmud,,,,,,,,,,
Bati bar Tuvi,names,,3,,,,,https://chavrutai.com/search?q=Bati+bar+Tuvi&type=talmud,,,,,,,,,,
Bati bar Tuviyya,names,,1,,,,,https://chavrutai.com/search?q=Bati+bar+Tuviyya&type=talmud,,,,,,,,,,
Bav River,talmudToponyms,,2,,,,,https://chavrutai.com/search?q=Bav+River&type=talmud,,,,,,,,,,
Bedan,biblicalNames,,2,https://en.wikipedia.org/wiki/Bedan,,Bedan,,https://chavrutai.com/search?q=Bedan&type=talmud,biblical_names_api_review:verified_exact_or_redirect,Q4878985,,,,,,,,
Beersheba,talmudToponyms,,1,https://en.wikipedia.org/wiki/Beersheba#Hebrew_Bible,https://he.wikipedia.org/wiki/%D7%91%D7%90%D7%A8_%D7%A9%D7%91%D7%A2,Beersheba,באר שבע,https://chavrutai.com/search?q=Beersheba&type=talmud,blog,Q41843,,,,,,,,
Bei Abiyonei,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Bei+Abiyonei&type=talmud,,,,,,,,,,
Bei Akhborei,talmudToponyms,,2,,,,,https://chavrutai.com/search?q=Bei+Akhborei&type=talmud,,,,,,,,,,
Bei Ardeshir,talmudToponyms,,2,,,,,https://chavrutai.com/search?q=Bei+Ardeshir&type=talmud,,,,,,,,,,
Bei Argiza,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Bei+Argiza&type=talmud,,,,,,,,,,
Bei Dura,talmudToponyms,,2,,,,,https://chavrutai.com/search?q=Bei+Dura&type=talmud,,,,,,,,,,
Bei Ḥarmakh,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Bei+%E1%B8%A4armakh&type=talmud,,,,,,,,,,
Bei Hedya,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Bei+Hedya&type=talmud,,,,,,,,,,
Bei Ḥoza’a,talmudToponyms,,3,,,,,https://chavrutai.com/search?q=Bei+%E1%B8%A4oza%E2%80%99a&type=talmud,,,,,,,,,,
Bei Ḥozai,talmudToponyms,,19,,,,,https://chavrutai.com/search?q=Bei+%E1%B8%A4ozai&type=talmud,,,,,,,,,,
Bei Ila’ei,talmudToponyms,,5,,,,,https://chavrutai.com/search?q=Bei+Ila%E2%80%99ei&type=talmud,,,,,,,,,,
Bei Katil,talmudToponyms,,4,,,,,https://chavrutai.com/search?q=Bei+Katil&type=talmud,,,,,,,,,,
Bei Keifei,talmudToponyms,,2,,,,,https://chavrutai.com/search?q=Bei+Keifei&type=talmud,,,,,,,,,,
Bei Keloḥit,talmudToponyms,,2,,,,,https://chavrutai.com/search?q=Bei+Kelo%E1%B8%A5it&type=talmud,,,,,,,,,,
Bei Ketil,talmudToponyms,,2,,,,,https://chavrutai.com/search?q=Bei+Ketil&type=talmud,,,,,,,,,,
Bei Khatil,talmudToponyms,,2,,,,,https://chavrutai.com/search?q=Bei+Khatil&type=talmud,,,,,,,,,,
Bei Kovei,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Bei+Kovei&type=talmud,,,,,,,,,,
Bei Kutai,talmudToponyms,,2,,,,,https://chavrutai.com/search?q=Bei+Kutai&type=talmud,,,,,,,,,,
Bei Kuvei,talmudToponyms,,5,,,,,https://chavrutai.com/search?q=Bei+Kuvei&type=talmud,,,,,,,,,,
Bei Lefet,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Bei+Lefet&type=talmud,,,,,,,,,,
Bei Meḥoza,talmudToponyms,,3,,,,,https://chavrutai.com/search?q=Bei+Me%E1%B8%A5oza&type=talmud,,,,,,,,,,
Bei Mikhsei,talmudToponyms,,3,,,,,https://chavrutai.com/search?q=Bei+Mikhsei&type=talmud,,,,,,,,,,
Bei Mikhsi,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Bei+Mikhsi&type=talmud,,,,,,,,,,
Bei Shifei,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Bei+Shifei&type=talmud,,,,,,,,,,
Bei Tarbu,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Bei+Tarbu&type=talmud,,,,,,,,,,
Bei Torta,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Bei+Torta&type=talmud,,,,,,,,,,
Bei Varei,talmudToponyms,,0,,,,,https://chavrutai.com/search?q=Bei+Varei&type=talmud,,,,,,,,,,
Beit Baltin,talmudToponyms,,4,,,,,https://chavrutai.com/search?q=Beit+Baltin&type=talmud,,,,,,,,,,
Beit Biri,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+Biri&type=talmud,,,,,,,,,,
Beit Bukya,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+Bukya&type=talmud,,,,,,,,,,
Beit D’li,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+D%E2%80%99li&type=talmud,,,,,,,,,,
Beit Garem,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+Garem&type=talmud,,,,,,,,,,
Beit Gilgul,talmudToponyms,,3,,,,,https://chavrutai.com/search?q=Beit+Gilgul&type=talmud,,,,,,,,,,
Beit Haifa,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+Haifa&type=talmud,,,,,,,,,,
Beit HaTzerifa,names,,1,,,,,https://chavrutai.com/search?q=Beit+HaTzerifa&type=talmud,,,,,,,,,,
Beit HaYeshimot,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+HaYeshimot&type=talmud,,,,,,,,,,
Beit Ḥiddudo,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+%E1%B8%A4iddudo&type=talmud,,,,,,,,,,
Beit Hillel,names,,751,https://en.wikipedia.org/wiki/Houses_of_Hillel_and_Shammai,https://he.wikipedia.org/wiki/%D7%91%D7%99%D7%AA%20%D7%94%D7%9C%D7%9C%20%D7%95%D7%91%D7%99%D7%AA%20%D7%A9%D7%9E%D7%90%D7%99,Houses of Hillel and Shammai,בית הלל ובית שמאי,https://chavrutai.com/search?q=Beit+Hillel&type=talmud,manual_top_count_review_20260307,Q3710285,,,,,,,,
Beit Hini,talmudToponyms,,5,,,,,https://chavrutai.com/search?q=Beit+Hini&type=talmud,,,,,,,,,,
Beit Hino,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+Hino&type=talmud,,,,,,,,,,
Beit Jericho,talmudToponyms,,2,,,,,https://chavrutai.com/search?q=Beit+Jericho&type=talmud,,,,,,,,,,
Beit Kerem Valley,talmudToponyms,,3,,,,,https://chavrutai.com/search?q=Beit+Kerem+Valley&type=talmud,,,,,,,,,,
Beit Kofai,names;talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+Kofai&type=talmud,,,,,,,,,,
Beit Lavan,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+Lavan&type=talmud,,,,,,,,,,
Beit Maron,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+Maron&type=talmud,,,,,,,,,,
Beit Menaḥem,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+Mena%E1%B8%A5em&type=talmud,,,,,,,,,,
Beit Meron,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+Meron&type=talmud,,,,,,,,,,
Beit Neresh,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+Neresh&type=talmud,,,,,,,,,,
Beit Pagei,talmudToponyms,,12,,,,,https://chavrutai.com/search?q=Beit+Pagei&type=talmud,,,,,,,,,,
Beit Rima,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+Rima&type=talmud,,,,,,,,,,
Beit Shammai,names,,880,https://en.wikipedia.org/wiki/Houses_of_Hillel_and_Shammai,https://he.wikipedia.org/wiki/%D7%91%D7%99%D7%AA%20%D7%A9%D7%9E%D7%90%D7%99,Houses of Hillel and Shammai,בית שמאי,https://chavrutai.com/search?q=Beit+Shammai&type=talmud,manual_top_count_review_20260307,Q3710285,,,,,,,,
Beit Shavor,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+Shavor&type=talmud,,,,,,,,,,
Beit She’arim,talmudToponyms,,10,,,,,https://chavrutai.com/search?q=Beit+She%E2%80%99arim&type=talmud,,,,,,,,,,
Beit She'an,talmudToponyms,Beit She’an,20,https://en.wikipedia.org/wiki/Beit_She'an,https://he.wikipedia.org/wiki/%D7%91%D7%99%D7%AA_%D7%A9%D7%90%D7%9F,Beit She'an,בית שאן,https://chavrutai.com/search?q=Beit+She%27an&type=talmud,blog,Q152368,,,,,,,,
Beit Teraiki,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+Teraiki&type=talmud,,,,,,,,,,
Beit Tzevo’im,names;talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+Tzevo%E2%80%99im&type=talmud,,,,,,,,,,
Beit Unaiki,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Beit+Unaiki&type=talmud,,,,,,,,,,
Beit Unyaki,talmudToponyms,,4,,,,,https://chavrutai.com/search?q=Beit+Unyaki&type=talmud,,,,,,,,,,
Beit Ya’zek,talmudToponyms,Beit Yazek,5,,,,,https://chavrutai.com/search?q=Beit+Ya%E2%80%99zek&type=talmud,,,,,,,,,,
Beitar,talmudToponyms,,18,,,,,https://chavrutai.com/search?q=Beitar&type=talmud,,,,,,,,,,
Beityoni,talmudToponyms,,2,,,,,https://chavrutai.com/search?q=Beityoni&type=talmud,,,,,,,,,,
Bela,biblicalNames,,0,,,Bela,,https://chavrutai.com/search?q=Bela&type=talmud,biblical_names_api_review:disambiguation_only,,,,,,,,,
Beloa of Gader,talmudToponyms,,0,,,,,https://chavrutai.com/search?q=Beloa+of+Gader&type=talmud,,,,,,,,,,
Beloreya the female convert,names,,1,,,,,https://chavrutai.com/search?q=Beloreya+the+female+convert&type=talmud,,,,,,,,,,
Belshazzar,biblicalNames,,4,https://en.wikipedia.org/wiki/Belshazzar,https://he.wikipedia.org/wiki/%D7%91%D7%9C%D7%A9%D7%90%D7%A6%D7%A8,Belshazzar,בלשאצר,https://chavrutai.com/search?q=Belshazzar&type=talmud,biblical_names_api_review:verified_exact_or_redirect,Q225198,Nabonidus,,,,-580,,-539,Babylonia
Ben Akhmai,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Ben+Akhmai&type=talmud,,,,,,,,,,
ben Antigonus,names,,1,,,,,https://chavrutai.com/search?q=ben+Antigonus&type=talmud,,,,,,,,,,
ben Arza,names,,3,,,,,https://chavrutai.com/search?q=ben+Arza&type=talmud,,,,,,,,,,
Ben Avatiaḥ,names,,1,,,,,https://chavrutai.com/search?q=Ben+Avatia%E1%B8%A5&type=talmud,,,,,,,,,,
Ben Azzai,names,,84,https://en.wikipedia.org/wiki/Simeon_ben_Azzai,https://he.wikipedia.org/wiki/%D7%91%D7%9F_%D7%A2%D7%96%D7%90%D7%99,Simeon ben Azzai,בן עזאי,https://chavrutai.com/search?q=Ben+Azzai&type=talmud,blog,Q601081,,,,,101,Israel,,Syria Palaestina
Ben Bag-Bag,names,ben Bag Bag,22,https://en.wikipedia.org/wiki/Ben_Bag-Bag,https://he.wikipedia.org/wiki/%D7%91%D7%9F_%D7%91%D7%92_%D7%91%D7%92,Ben Bag-Bag,בן בג בג,https://chavrutai.com/search?q=Ben+Bag-Bag&type=talmud,blog,Q16155143,,,,,50,,,
ben Beivai,names,,1,,,,,https://chavrutai.com/search?q=ben+Beivai&type=talmud,,,,,,,,,,
ben Bukhri,names,,5,,,,,https://chavrutai.com/search?q=ben+Bukhri&type=talmud,,,,,,,,,,
ben Dama,names,,-,,,,,https://chavrutai.com/search?q=ben+Dama&type=talmud,,,,,,,,,,
"Ben Dama, son of Rabbi Yishmael",names,,-,,,,,https://chavrutai.com/search?q=Ben+Dama%2C+son+of+Rabbi+Yishmael&type=talmud,,,,,,,,,,
ben Derosai,names,,5,,,,,https://chavrutai.com/search?q=ben+Derosai&type=talmud,,,,,,,,,,
ben Donai,names,,1,,,,,https://chavrutai.com/search?q=ben+Donai&type=talmud,,,,,,,,,,
ben Dortai,names,,-,,,,,https://chavrutai.com/search?q=ben+Dortai&type=talmud,,,,,,,,,,
ben Drosai,names,,4,,,,,https://chavrutai.com/search?q=ben+Drosai&type=talmud,,,,,,,,,,
Ben Elasa,names,,7,,,,,https://chavrutai.com/search?q=Ben+Elasa&type=talmud,,,,,,,,,,
ben Gamla,names,,1,,,,,https://chavrutai.com/search?q=ben+Gamla&type=talmud,,,,,,,,,,
ben Garon,names,,-,,,,,https://chavrutai.com/search?q=ben+Garon&type=talmud,,,,,,,,,,
ben Ḥakhinai,names,,1,,,,,https://chavrutai.com/search?q=ben+%E1%B8%A4akhinai&type=talmud,,,,,,,,,,
ben Ḥamtzan,names,,-,,,,,https://chavrutai.com/search?q=ben+%E1%B8%A4amtzan&type=talmud,,,,,,,,,,
ben Harkinas,names,,1,,,,,https://chavrutai.com/search?q=ben+Harkinas&type=talmud,,,,,,,,,,
ben Ḥavu,names,,-,,,,,https://chavrutai.com/search?q=ben+%E1%B8%A4avu&type=talmud,,,,,,,,,,
ben Idi,names,,1,,,,,https://chavrutai.com/search?q=ben+Idi&type=talmud,,,,,,,,,,
ben Imma Miriam,names,,1,,,,,https://chavrutai.com/search?q=ben+Imma+Miriam&type=talmud,,,,,,,,,,
ben Kalba Savua,names,,3,,,,,https://chavrutai.com/search?q=ben+Kalba+Savua&type=talmud,,,,,,,,,,
ben Kamtzar,names,,4,,,,,https://chavrutai.com/search?q=ben+Kamtzar&type=talmud,,,,,,,,,,
ben Katin,names,,7,,https://he.wikipedia.org/wiki/%D7%91%D7%9F_%D7%A7%D7%98%D7%99%D7%9F,,בן קטין,https://chavrutai.com/search?q=ben+Katin&type=talmud,wikidata_seed_qid,Q122234149,,,,,,,,
ben Koziva,names,,-,,,,,https://chavrutai.com/search?q=ben+Koziva&type=talmud,,,,,,,,,,
ben Lakonya,names,,-,,,,,https://chavrutai.com/search?q=ben+Lakonya&type=talmud,,,,,,,,,,
ben Megusat,names,,2,,,,,https://chavrutai.com/search?q=ben+Megusat&type=talmud,,,,,,,,,,
Ben Mekoshesh,talmudToponyms,,1,,,,,https://chavrutai.com/search?q=Ben+Mekoshesh&type=talmud,,,,,,,,,,
ben Nanas,names,,6,,,,,https://chavrutai.com/search?q=ben+Nanas&type=talmud,,,,,,,,,,
ben Nannas,names,,18,,,,,https://chavrutai.com/search?q=ben+Nannas&type=talmud,,,,,,,,,,
ben Nappaḥa,names,,1,,,,,https://chavrutai.com/search?q=ben+Nappa%E1%B8%A5a&type=talmud,,,,,,,,,,
ben Nedavai,names,,1,,,,,https://chavrutai.com/search?q=ben+Nedavai&type=talmud,,,,,,,,,,
Ben Netz,names,,1,,,,,https://chavrutai.com/search?q=Ben+Netz&type=talmud,,,,,,,,,,
ben Netzer,names,,3,,,,,https://chavrutai.com/search?q=ben+Netzer&type=talmud,,,,,,,,,,
ben Pazi,names,,1,,,,,https://chavrutai.com/search?q=ben+Pazi&type=talmud,,,,,,,,,,
ben Perata son of the son of Rabbi Perata,names,,-,,,,,https://chavrutai.com/search?q=ben+Perata+son+of+the+son+of+Rabbi+Perata&type=talmud,,,,,,,,,,
Ben Petora,names,,1,,,,,https://chavrutai.com/search?q=Ben+Petora&type=talmud,,,,,,,,,,
ben Reḥumi,names,,-,,,,,https://chavrutai.com/search?q=ben+Re%E1%B8%A5umi&type=talmud,,,,,,,,,,
ben Setada,names,,2,,,,,https://chavrutai.com/search?q=ben+Setada&type=talmud,,,,,,,,,,
Ben Shelakot,names,,3,,,,,https://chavrutai.com/search?q=Ben+Shelakot&type=talmud,,,,,,,,,,
ben Stada,names,,2,,,,,https://chavrutai.com/search?q=ben+Stada&type=talmud,,,,,,,,,,
